Test confusion matrix:
[[38  0  0 ...  0  0  2]
 [ 0 37  0 ...  0  0  2]
 [ 0  0 53 ...  0  1  1]
 ...
 [ 0  0  0 ... 53  0  0]
 [ 0  1  0 ...  0 32  4]
 [ 0  0  0 ...  0  0  0]]
Test classification report:
                     precision    recall  f1-score   support

          AdamArkin      1.000     0.792     0.884        48
           AlanRuck      0.755     0.804     0.779        46
       AlfreWoodard      0.964     0.930     0.946        57
     AnjelicaHuston      1.000     0.981     0.990        52
            BoDerek      0.877     0.962     0.917        52
           BobSaget      0.812     0.867     0.839        60
         ColmMeaney      0.806     0.690     0.744        42
         DenisLeary      0.829     0.935     0.879        62
      FrancesConroy      0.971     0.917     0.943        36
          HulkHogan      0.882     0.682     0.769        44
       JeffGoldblum      0.899     0.954     0.925        65
       JesseVentura      0.737     0.824     0.778        51
        JohnGoodman      0.912     0.963     0.937        54
      JohnMalkovich      0.941     0.941     0.941        34
       JohnTravolta      0.875     0.949     0.911        59
       JohnTurturro      0.756     0.694     0.723        49
         KarenAllen      0.864     0.792     0.826        48
       KirstieAlley      0.889     0.889     0.889        72
         KurtFuller      0.963     0.812     0.881        32
         LiamNeeson      0.967     0.967     0.967        60
MariaConchitaAlonso      0.880     0.880     0.880        50
         MarkHamill      0.983     0.921     0.951        63
          MelGibson      0.941     0.889     0.914        72
    MelanieGriffith      0.944     0.911     0.927        56
     MichaelEmerson      0.857     0.870     0.863        69
      MichaelKeaton      0.959     0.770     0.855        61
       MickeyRourke      0.981     0.930     0.955        57
         NathanLane      0.844     0.844     0.844        64
      PatrickSwayze      0.898     0.791     0.841        67
         PaulHaggis      0.698     0.733     0.715        60
              Rekha      0.903     0.778     0.836        72
          ReneRusso      0.979     0.887     0.931        53
         RobertDavi      0.840     0.894     0.866        47
      RobertPicardo      0.918     0.804     0.857        56
     RobertoBenigni      0.701     0.810     0.752        58
      RobinWilliams      0.911     0.911     0.911        56
     RolandEmmerich      0.726     0.804     0.763        56
          RonHoward      0.980     0.923     0.950        52
       RoseanneBarr      0.923     0.909     0.916        66
      RowanAtkinson      0.879     0.823     0.850        62
     SharonOsbourne      0.941     0.877     0.908        73
       SteveBuscemi      0.818     0.789     0.804        57
          SteveJobs      0.912     0.827     0.867        75
        StevenBauer      0.872     0.872     0.872        39
       StevenSeagal      0.779     0.883     0.828        60
           TomHanks      0.885     0.794     0.837        68
           TomHulce      0.821     0.719     0.767        32
          TonyDanza      0.959     0.887     0.922        53
       TonyShalhoub      1.000     0.930     0.964        57
           TonyTodd      0.842     0.744     0.790        43
            Unknown      0.000     0.000     0.000         0

           accuracy                          0.858      2777
          macro avg      0.868     0.838     0.851      2777
       weighted avg      0.886     0.858     0.870      2777

