Test confusion matrix:
[[39  0  0 ...  0  0  2]
 [ 0 39  0 ...  0  0  4]
 [ 0  0 54 ...  0  0  1]
 ...
 [ 0  0  0 ... 55  0  0]
 [ 0  0  0 ...  0 33  2]
 [ 0  0  0 ...  0  0  0]]
Test classification report:
                     precision    recall  f1-score   support

          AdamArkin      0.929     0.812     0.867        48
           AlanRuck      0.812     0.848     0.830        46
       AlfreWoodard      0.982     0.947     0.964        57
     AnjelicaHuston      0.980     0.962     0.971        52
            BoDerek      0.904     0.904     0.904        52
           BobSaget      0.779     0.883     0.828        60
         ColmMeaney      0.912     0.738     0.816        42
         DenisLeary      0.866     0.935     0.899        62
      FrancesConroy      0.970     0.889     0.928        36
          HulkHogan      0.909     0.682     0.779        44
       JeffGoldblum      0.984     0.954     0.969        65
       JesseVentura      0.935     0.843     0.887        51
        JohnGoodman      0.964     0.981     0.972        54
      JohnMalkovich      0.971     0.971     0.971        34
       JohnTravolta      0.952     1.000     0.975        59
       JohnTurturro      0.878     0.735     0.800        49
         KarenAllen      0.947     0.750     0.837        48
       KirstieAlley      0.914     0.889     0.901        72
         KurtFuller      0.929     0.812     0.867        32
         LiamNeeson      0.966     0.950     0.958        60
MariaConchitaAlonso      0.900     0.900     0.900        50
         MarkHamill      0.938     0.952     0.945        63
          MelGibson      0.958     0.944     0.951        72
    MelanieGriffith      0.947     0.964     0.956        56
     MichaelEmerson      0.838     0.899     0.867        69
      MichaelKeaton      0.912     0.852     0.881        61
       MickeyRourke      0.982     0.947     0.964        57
         NathanLane      0.831     0.844     0.837        64
      PatrickSwayze      0.895     0.761     0.823        67
         PaulHaggis      0.839     0.783     0.810        60
              Rekha      0.882     0.833     0.857        72
          ReneRusso      0.979     0.887     0.931        53
         RobertDavi      0.875     0.894     0.884        47
      RobertPicardo      0.782     0.768     0.775        56
     RobertoBenigni      0.725     0.862     0.787        58
      RobinWilliams      0.862     0.893     0.877        56
     RolandEmmerich      0.857     0.750     0.800        56
          RonHoward      1.000     0.981     0.990        52
       RoseanneBarr      0.922     0.894     0.908        66
      RowanAtkinson      0.881     0.839     0.860        62
     SharonOsbourne      0.944     0.932     0.938        73
       SteveBuscemi      0.891     0.860     0.875        57
          SteveJobs      0.926     0.840     0.881        75
        StevenBauer      1.000     0.897     0.946        39
       StevenSeagal      0.871     0.900     0.885        60
           TomHanks      0.922     0.868     0.894        68
           TomHulce      0.852     0.719     0.780        32
          TonyDanza      0.925     0.925     0.925        53
       TonyShalhoub      0.965     0.965     0.965        57
           TonyTodd      0.673     0.767     0.717        43
            Unknown      0.000     0.000     0.000         0

           accuracy                          0.876      2777
          macro avg      0.887     0.855     0.869      2777
       weighted avg      0.905     0.876     0.889      2777

